t,raw_score,score,rec_err,lat_err,edge_err,err_phys,err_cyber,err_event,top_nodes,y_true,switching,physical_block_context,switch_event,attack_type,affected_nodes,rec_z,phys_z,cyber_z,edge_z,lat_z,threshold,raw_alert,high_score,strong_cyber,strong_physical,cyber_confirmed,physical_confirmed_raw,physical_confirmed_persistent,confirmed_alert_before_persistence,physical_confirmed,alert,threshold_method,context_aware_alerting,cyber_confirm_z,phys_confirm_z,phys_min_rec_z,phys_persistence_k,physical_confirmation_enabled,persistence_k
11,0.7020301222801208,0.5410585070505659,0.7020301222801208,0.14826998114585876,6217.8681640625,0.7246155738830566,0.9958584308624268,0.0014462483813986182,"[19, 30, 33, 13, 29, 16]",0,0,0,0,none,[],0.18151910474925526,0.0,0.7340437733402537,1.312916895356516,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
12,0.6068946719169617,0.0,0.6068946719169617,0.15554535388946533,6139.5302734375,0.6400421261787415,0.826408863067627,0.0021288469433784485,"[19, 13, 14, 30, 3, 22]",0,0,0,0,none,[],0.0,0.0,0.0,0.28937825241855347,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
13,0.6907628178596497,0.8957071214662199,0.6907628178596497,0.16985882818698883,6194.5263671875,0.6784895062446594,1.0655241012573242,0.0026071995962411165,"[19, 30, 2, 5, 34, 17]",0,0,0,0,none,[],0.09103693326048806,0.0,1.2600736878244954,1.0079401988108132,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
14,0.5320737957954407,0.0,0.5320737957954407,0.17048659920692444,6182.42138671875,0.5147313475608826,0.8404359221458435,0.0020618487615138292,"[11, 19, 5, 30, 4, 29]",0,0,0,0,none,[],0.0,0.0,0.0,0.8497802690127939,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
15,0.6271114349365234,1.104869488592304,0.6271114349365234,0.17496103048324585,6236.291015625,0.5599533319473267,1.1076802015304565,0.0017644905019551516,"[30, 38, 19, 29, 14, 16]",0,0,0,0,none,[],0.0,0.0,1.5783849837032917,1.5536241742593142,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
16,0.5324243307113647,0.0,0.5324243307113647,0.18763375282287598,6164.98974609375,0.5183471441268921,0.8326762318611145,0.002306708600372076,"[19, 25, 29, 11, 7, 30]",0,0,0,0,none,[],0.0,0.0,0.0,0.6220238455611667,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
17,0.5036003589630127,0.0,0.5036003589630127,0.1724388152360916,6204.29541015625,0.4689844250679016,0.840949535369873,0.0019815079867839813,"[19, 13, 24, 28, 29, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.1355794919199647,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
18,0.718599796295166,0.8560778730854682,0.718599796295166,0.18660053610801697,6184.8212890625,0.7288022041320801,1.0515750646591187,0.0016369693912565708,"[19, 22, 30, 3, 17, 13]",0,0,0,0,none,[],0.3145819944869578,0.0037815594814119688,1.154747628557447,0.8811366505608261,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
19,0.7728039026260376,0.27887664752627866,0.7728039026260376,0.2088911384344101,6180.95947265625,0.9105300307273865,0.8139394521713257,0.0019019081955775619,"[30, 19, 0, 38, 34, 15]",0,0,0,0,none,[],0.7498684713051808,1.1093091788700105,0.0,0.8306793521552541,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
20,0.6032229065895081,0.013656481809609232,0.6032229065895081,0.20198777318000793,6107.38134765625,0.6041651964187622,0.9012278318405151,0.0025016949512064457,"[19, 24, 1, 23, 14, 30]",0,0,0,0,none,[],0.0,0.0,0.01950925972801319,0.0,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
21,0.7104482650756836,1.3295615561650964,0.7104482650756836,0.207235187292099,6189.67724609375,0.6789780855178833,1.1431210041046143,0.0024534601252526045,"[13, 8, 19, 38, 37, 4]",0,0,0,0,none,[],0.24912106273497772,0.0,1.8459905667926426,0.9445830828080651,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
22,0.6242446303367615,0.8802709587220504,0.6242446303367615,0.21216663718223572,6172.55859375,0.5722798109054565,1.0651872158050537,0.0021834869403392076,"[36, 19, 37, 8, 30, 23]",0,0,0,0,none,[],0.0,0.0,1.2575299410315006,0.7209160674077683,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
23,0.5581135153770447,0.0,0.5581135153770447,0.21976107358932495,6118.349609375,0.5950167179107666,0.7438097596168518,0.0022049422841519117,"[19, 27, 30, 38, 23, 34]",0,0,0,0,none,[],0.0,0.0,0.0,0.012638248595453039,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
24,0.7269676327705383,0.3707721350102339,0.7269676327705383,0.24339976906776428,6119.33447265625,0.7833796739578247,0.9484280347824097,0.001986572053283453,"[38, 2, 3, 30, 26, 23]",0,0,0,0,none,[],0.38177996719629337,0.33579950862617375,0.37590744805266274,0.025506167533882507,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
25,0.62711101770401,0.0,0.62711101770401,0.2598456144332886,6132.5244140625,0.6928803324699402,0.7752543091773987,0.0019776273984462023,"[17, 13, 19, 0, 30, 18]",0,0,0,0,none,[],0.0,0.0,0.0,0.1978418612789471,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
26,0.6635520458221436,0.015003171352822942,0.6635520458221436,0.26988011598587036,6159.32275390625,0.7446221709251404,0.7917370796203613,0.0018320101080462337,"[20, 13, 19, 34, 8, 29]",0,0,0,0,none,[],0.0,0.10002114235215295,0.0,0.5479806788782652,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
27,0.6520484089851379,0.3074365533080656,0.6520484089851379,0.26267459988594055,6160.1865234375,0.6601229310035706,0.9568096399307251,0.002153692999854684,"[38, 19, 30, 35, 34, 36]",0,0,0,0,none,[],0.0,0.0,0.4391950761543794,0.559266424342857,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
28,0.7851245403289795,0.29335473971515325,0.7851245403289795,0.2778266668319702,6145.119140625,0.9101321697235107,0.8640844225883484,0.0021667727269232273,"[2, 19, 30, 23, 13, 34]",0,0,0,0,none,[],0.848809443509954,1.1068888212577346,0.0,0.36240066202155974,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
29,0.7410188913345337,0.3806715192847719,0.7410188913345337,0.28762057423591614,6138.44189453125,0.8080403208732605,0.9428411722183228,0.0022675897926092148,"[30, 19, 22, 8, 25, 17]",0,0,0,0,none,[],0.4946187030265327,0.48582070674305394,0.3337222968847627,0.2751578303492628,0.01857496123291452,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
30,0.6939020156860352,0.040581816323826056,0.6939020156860352,0.30039429664611816,6089.10498046875,0.7535444498062134,0.89082932472229,0.001835664501413703,"[27, 35, 19, 30, 8, 3]",0,0,0,0,none,[],0.11624628462478709,0.15429915753405332,0.0,0.0,0.07571592059476262,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
31,0.6886596083641052,0.052608135743116756,0.6886596083641052,0.3087669014930725,6118.26611328125,0.7736440896987915,0.8194505572319031,0.0021549873054027557,"[20, 13, 19, 38, 24, 14]",0,0,0,0,none,[],0.07414709384983897,0.27657381110427276,0.0,0.011547314466314993,0.11316926880049241,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
32,0.6471264362335205,0.022820545710063034,0.6471264362335205,0.3254210352897644,6179.91259765625,0.7531890273094177,0.7044664621353149,0.0021337191574275494,"[4, 22, 8, 20, 30, 19]",0,0,0,0,none,[],0.0,0.15213697140042023,0.0,0.8170012072846577,0.18766855349792005,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
33,0.5970029830932617,0.05760749372007718,0.5970029830932617,0.3390786051750183,6095.15185546875,0.5908658504486084,0.9095431566238403,0.0026076792273670435,"[19, 38, 11, 30, 8, 34]",0,0,0,0,none,[],0.0,0.0,0.08229641960011026,0.0,0.24876324623772816,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
34,0.7470694184303284,0.4247094816236014,0.7470694184303284,0.3511653244495392,6136.68408203125,0.8154381513595581,0.948516845703125,0.002330936025828123,"[37, 35, 2, 19, 11, 23]",0,0,0,0,none,[],0.5432075056228712,0.5308248543157308,0.3765780394754444,0.2521907960516197,0.30283102011794516,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
35,0.7825292348861694,0.2894194446586955,0.7825292348861694,0.35670626163482666,6208.0927734375,0.9092455506324768,0.8558951020240784,0.0022162236273288727,"[30, 19, 25, 34, 23, 11]",0,0,0,0,none,[],0.8279678239549327,1.1014951404363709,0.0,1.185194665734623,0.3276174102056296,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
36,0.7014138698577881,0.1190867389208818,0.7014138698577881,0.37328383326530457,6090.12060546875,0.8296598196029663,0.7301512360572815,0.0027092641685158014,"[37, 23, 16, 2, 19, 38]",0,0,0,0,none,[],0.17657028511351586,0.6173413076923628,0.0,0.0,0.4017742077651816,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
37,0.8121560215950012,1.4138794598839541,0.8121560215950012,0.38624170422554016,6083.19970703125,0.8531721234321594,1.114315390586853,0.002756597474217415,"[11, 19, 7, 8, 2, 14]",0,0,0,0,none,[],1.065885953758826,0.7603766466694518,1.6284858140281608,0.0,0.45973892268364075,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
38,0.7116715908050537,0.16036942699199166,0.7116715908050537,0.40566709637641907,6143.17431640625,0.8613595962524414,0.692152738571167,0.002270167926326394,"[15, 19, 30, 13, 27, 34]",0,0,0,0,none,[],0.25894498905318214,0.8101845242267623,0.0,0.3369901904639174,0.5466349352817241,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
39,0.6327980160713196,0.0,0.6327980160713196,0.4167900085449219,6100.03125,0.654196560382843,0.8945977687835693,0.0022060966584831476,"[19, 30, 24, 17, 13, 22]",0,0,0,0,none,[],0.0,0.0,0.0,0.0,0.59639129069604,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
40,0.7700253129005432,0.24157483570768018,0.7700253129005432,0.4210898280143738,6074.3974609375,0.8733198642730713,0.8957729935646057,0.002057321835309267,"[13, 3, 19, 37, 1, 21]",0,0,0,0,none,[],0.7275549859623754,0.8829439187554925,0.0,0.0,0.615625762972579,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
41,0.7536988258361816,0.19880371445129147,0.7536988258361816,0.4313044548034668,6127.87451171875,0.8480001091957092,0.8935224413871765,0.002544919028878212,"[15, 19, 24, 30, 29, 25]",0,0,0,0,none,[],0.5964450108309034,0.7289130855110397,0.0,0.1370876758299318,0.6613190664207457,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
42,0.675050675868988,0.006622587937715065,0.675050675868988,0.43675488233566284,6097.49853515625,0.7354381084442139,0.8601897954940796,0.0028346499893814325,"[17, 19, 20, 27, 2, 26]",0,0,0,0,none,[],0.0,0.04415058625143377,0.0,0.0,0.6857005777860757,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
43,0.7402631640434265,0.1892595931671503,0.7402631640434265,0.45021259784698486,6074.46337890625,0.855276882648468,0.8218937516212463,0.0019332094816491008,"[7, 17, 11, 8, 19, 30]",0,0,0,0,none,[],0.4885498294254553,0.7731807916888802,0.0,0.0,0.7459012577790585,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
44,0.72573322057724,0.23817662399153267,0.72573322057724,0.4536016285419464,6074.97998046875,0.928064227104187,0.5816479325294495,0.0022485130466520786,"[17, 30, 2, 19, 13, 4]",0,0,0,0,none,[],0.3718670109475108,1.2159771489960403,0.0,0.0,0.7610614795999263,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
45,0.6911674737930298,0.052268941478086195,0.6911674737930298,0.4583723843097687,6106.33251953125,0.7699618339538574,0.8386142253875732,0.0023023479152470827,"[19, 38, 34, 20, 16, 4]",0,0,0,0,none,[],0.09428652572659067,0.2541730841273173,0.0,0.0,0.7824026010600821,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
46,0.7090310454368591,0.1486730008044992,0.7090310454368591,0.4599250853061676,6129.849609375,0.8520274758338928,0.704746663570404,0.002617756137624383,"[19, 25, 17, 16, 2, 21]",0,0,0,0,none,[],0.23774006994273708,0.7534132687539243,0.0,0.16289369075603355,0.78934833087064,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
47,0.8130761384963989,0.3662544303403812,0.8130761384963989,0.4720483422279358,6139.07373046875,0.953123152256012,0.8683376908302307,0.002318107523024082,"[11, 13, 14, 16, 19, 34]",0,0,0,0,none,[],1.073274959341272,1.3684212429279359,0.0,0.2834132032329156,0.843579549371735,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
48,0.9629911780357361,2.6271432602429003,0.9629911780357361,0.4890490770339966,6093.15087890625,1.0286403894424438,1.2791904211044312,0.0023457342758774757,"[19, 24, 4, 13, 20, 30]",0,0,0,0,none,[],2.2771687932292144,1.8278246981590263,2.873420337906663,0.0,0.9196292916065291,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
49,0.8706413507461548,1.2709804338379713,0.8706413507461548,0.5257182121276855,6078.73291015625,0.9710960984230042,1.0535919666290283,0.0024668127298355103,"[20, 19, 1, 16, 38, 13]",0,0,0,0,none,[],1.5355528221019794,1.4777583145347093,1.1699768047749544,0.0,1.0836620998151316,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
50,0.8947722911834717,0.6506412779193436,0.8947722911834717,0.5385945439338684,6154.185546875,1.1569311618804932,0.6855105757713318,0.002500824397429824,"[30, 16, 20, 19, 18, 4]",0,0,0,0,none,[],1.7293365177716864,2.6082720016906045,0.0,0.4808595211434033,1.141262063932023,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
51,0.6973797678947449,0.08485416804064391,0.6973797678947449,0.5396826267242432,6104.587890625,0.7974705100059509,0.7946177124977112,0.0024501560255885124,"[19, 30, 7, 27, 38, 1]",0,0,0,0,none,[],0.144174399460505,0.42152005414378774,0.0,0.0,1.1461294074134716,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
52,0.7389953136444092,0.18764871895579446,0.7389953136444092,0.5454416275024414,6147.42919921875,0.8551852107048035,0.8169167041778564,0.0022036421578377485,"[19, 20, 17, 30, 34, 11]",0,0,0,0,none,[],0.47836834741831596,0.7726231122869806,0.0,0.3925831729277124,1.1718912659277174,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
53,0.7849442958831787,0.311972681330427,0.7849442958831787,0.5397872924804688,6039.47802734375,0.9307730197906494,0.8118383288383484,0.0020124195143580437,"[38, 19, 4, 20, 30, 24]",0,0,0,0,none,[],0.8473619891547479,1.2324558863814319,0.0,0.0,1.146597610927765,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
54,0.7876570224761963,0.3846295721672768,0.7876570224761963,0.5347257256507874,6140.029296875,1.0068148374557495,0.6326175928115845,0.0019471078412607312,"[19, 30, 23, 10, 27, 2]",0,0,0,0,none,[],0.8691465601250326,1.6950505876568127,0.0,0.29589833826638434,1.1239555982681575,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
55,0.8027006387710571,1.4165203178016643,0.8027006387710571,0.5515652298927307,6103.57373046875,0.8358771204948425,1.1199557781219482,0.0023082923144102097,"[16, 7, 19, 22, 26, 36]",0,0,0,0,none,[],0.9899544320530981,0.6551637919139182,1.6710751202951601,0.0,1.1992841044516058,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
56,0.7476475834846497,0.8113810246757912,0.7476475834846497,0.5427756905555725,6098.4384765625,0.7850545644760132,1.0267870426177979,0.0023340247571468353,"[11, 19, 23, 8, 38, 15]",0,0,0,0,none,[],0.5478504643680759,0.3459885796231702,0.9675788115387204,0.0,1.159965674479087,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
57,0.7391918301582336,0.3542294808916129,0.7391918301582336,0.5378186106681824,6146.42138671875,0.806861400604248,0.9384583830833435,0.0023113719653338194,"[24, 30, 4, 32, 19, 18]",0,0,0,0,none,[],0.4799464747361449,0.47864883360249905,0.30062883520116623,0.3794154065970637,1.1377910654416643,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
58,0.7630639672279358,0.2766097103438055,0.7630639672279358,0.5489474534988403,6135.8193359375,0.9209030866622925,0.7490113973617554,0.001974041573703289,"[17, 19, 4, 30, 37, 14]",0,0,0,0,none,[],0.6716518480479469,1.1724128875774231,0.0,0.24089229112352917,1.1875739506109189,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
59,0.7199057340621948,0.128007531988596,0.7199057340621948,0.5460894107818604,6103.39990234375,0.8150254487991333,0.8407999873161316,0.00251771230250597,"[19, 14, 2, 8, 11, 3]",0,0,0,0,none,[],0.32506933738463173,0.5283142092060082,0.0,0.0,1.17478900840684,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
60,0.6862455010414124,0.09070455304221092,0.6862455010414124,0.543972373008728,6135.99267578125,0.8185797333717346,0.6969828605651855,0.0030992322135716677,"[19, 34, 23, 30, 1, 12]",0,0,0,0,none,[],0.05476058713867565,0.5499364331427306,0.0,0.24315709589454676,1.1653188191012203,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
61,0.8575273156166077,2.151475199558988,0.8575273156166077,0.5544667840003967,6097.19921875,0.8756981492042542,1.239635944366455,0.0024550040252506733,"[13, 16, 17, 19, 15, 30]",0,0,0,0,none,[],1.4302404659943793,0.897412036970836,2.5747533201631514,0.0,1.212263687068802,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
62,0.8320218920707703,0.6226688605369629,0.8320218920707703,0.5669680237770081,6119.70947265625,0.9536211490631104,0.9427527785301208,0.002562974812462926,"[25, 30, 24, 19, 13, 34]",0,0,0,0,none,[],1.2254189735551442,1.3714507691976834,0.333054855891484,0.030405801517379698,1.2681857441723403,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
63,0.699678897857666,0.055597038020500755,0.699678897857666,0.5556048154830933,6081.86376953125,0.7623733878135681,0.891654908657074,0.002254009246826172,"[7, 19, 6, 21, 4, 11]",0,0,0,0,none,[],0.16263757963357556,0.2080093405030962,0.0,0.0,1.217354467079281,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
64,0.7710438370704651,0.7482040279555054,0.7710438370704651,0.5449148416519165,6038.43017578125,0.8326687216758728,1.001281976699829,0.002443211153149605,"[19, 8, 17, 2, 20, 11]",0,0,0,0,none,[],0.7357342518425878,0.6356457380482127,0.7749957563884077,0.0,1.1695347837754828,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
65,0.7655572891235352,0.8339519065363538,0.7655572891235352,0.5291825532913208,6094.26806640625,0.8156750798225403,1.0216892957687378,0.002704490441828966,"[3, 14, 19, 8, 34, 16]",0,0,0,0,none,[],0.6916744879727573,0.5322661908713557,0.9290868638710528,0.0,1.0991592095291143,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
66,0.643740713596344,0.052272599327468396,0.643740713596344,0.5100514888763428,6060.82470703125,0.7854647636413574,0.6100040078163147,0.002594663994386792,"[23, 19, 4, 13, 30, 38]",0,0,0,0,none,[],0.0,0.348483995516456,0.0,0.0,1.0135798193419536,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
